date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:13	36689/36689	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Dec%202017%2005:56:12%20GMT	https://www.templatemonster.com/demo/56030.html	C:/Merck/websites/Lachhan-Siddalinga/www.templatemonster.com/demo/56030.html	(from )
11:26:13	212/212	---MCZ	200	added ('OK')	text/plain	etag:W/%225a152d22-1bf%22	https://www.templatemonster.com/robots.txt		(from )
11:26:14	550/550	---M--	200	added ('OK')	image/png	etag:%2259cea577-226%22	https://s.tmimgcdn.com/img/logo-touch/favicon-16x16.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/favicon-16x164b94.png	(from https://www.templatemonster.com/demo/56030.html)
11:26:14	1483/1483	---M--	200	added ('OK')	image/png	etag:%2259cea577-5cb%22	https://s.tmimgcdn.com/img/logo-touch/favicon-32x32.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/favicon-32x324b94.png	(from https://www.templatemonster.com/demo/56030.html)
11:26:14	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/favicon-96x96.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/favicon-96x964b94.png	(from https://www.templatemonster.com/demo/56030.html)
11:26:14	1747/1747	---M--	200	added ('OK')	image/png	etag:%2259cea577-6d3%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-36.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/android-chrome-364b94.png	(from https://www.templatemonster.com/demo/56030.html)
11:26:14	2793/2793	---M--	200	added ('OK')	image/png	etag:%2259cea577-ae9%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-48.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/android-chrome-484b94.png	(from https://www.templatemonster.com/demo/56030.html)
11:26:15	4724/4724	---M--	200	added ('OK')	image/png	etag:%2259cea577-1274%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-72.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/android-chrome-724b94.png	(from https://www.templatemonster.com/demo/56030.html)
11:26:15	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-96.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/android-chrome-964b94.png	(from https://www.templatemonster.com/demo/56030.html)
11:26:15	12220/12220	---M--	200	added ('OK')	image/png	etag:%2259cea577-2fbc%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-144.png?d=fd37f38	C:/Merck/websites/Lachhan-Siddalinga/s.tmimgcdn.com/img/logo-touch/android-chrome-1444b94.png	(from https://www.templatemonster.com/demo/56030.html)
